Channel_DNA,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05MeasureImageQuality,FileName_DNA,Frame_DNA,Group_Index,Group_Number,Height_DNA,ImageNumber,ImageQuality_Correlation_DNA_20,ImageQuality_FocusScore_DNA,ImageQuality_LocalFocusScore_DNA_20,ImageQuality_MADIntensity_DNA,ImageQuality_MaxIntensity_DNA,ImageQuality_MeanIntensity_DNA,ImageQuality_MedianIntensity_DNA,ImageQuality_MinIntensity_DNA,ImageQuality_PercentMaximal_DNA,ImageQuality_PercentMinimal_DNA,ImageQuality_Scaling_DNA,ImageQuality_StdIntensity_DNA,ImageQuality_ThresholdOtsu_DNA_2W,ImageQuality_TotalIntensity_DNA,ImageQuality_TotalVolume_DNA,ImageSet_ImageSet,MD5Digest_DNA,Metadata_FileLocation,Metadata_Frame,Metadata_Series,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05MeasureImageQuality,PathName_DNA,Scaling_DNA,Series_DNA,URL_DNA,Width_DNA
-1,0.0,0.0,1.58,0.0,43.53,1.v3dpbd.tiff,0,1,1,347,1,0.02910097880931016,0.29836457487868395,0.7012041735264651,0.0,1.0,0.00042921105503861335,0.0,0.0,0.004358287329710463,98.9101323911722,255,0.0113164205,0.009587208511274628,38890.38,90608987,b'eLuaVK0fG00+9Ck49Q31yoxTCpJS9EAy4NIS5m5gcIDcg1mughiIshUcIEAGOCyBNDCE7QCECY65',630b6da68be37c7581498b56c0ffb90f,file:/home/linus/Downloads/gold166_wids_vols_tiff/gold166_wids_vols_tiff_onlysmall/1/1.v3dpbd.tiff,0,0,0,0,0,0,0,/home/linus/Downloads/gold166_wids_vols_tiff/gold166_wids_vols_tiff_onlysmall/1,255,0,file:/home/linus/Downloads/gold166_wids_vols_tiff/gold166_wids_vols_tiff_onlysmall/1/1.v3dpbd.tiff,511
-1,0.0,0.0,1.5799999999999983,0.0,53.650000000000006,100.v3dpbd.tiff,0,2,1,422,2,0.03322068637779883,0.5181349107439553,2.2972435862471454,0.0,1.0,2.254762682804499e-05,0.0,0.0,0.0005844288091386371,99.95571227524289,255,0.0034179983,0.06250095320542157,2484.592,110193062,b'eLuaVK0fG00+9Ck4DQxAWK/MOKUgKUUPJAsuMWFuBwYJyE2YZSuIgShfwYECZIDDE0gDQ9kOAJuPj3k=',6b76ef514c31de616e47d9918cf7c600,file:/home/linus/Downloads/gold166_wids_vols_tiff/gold166_wids_vols_tiff_onlysmall/100/100.v3dpbd.tiff,0,0,0,0,0,0,0,/home/linus/Downloads/gold166_wids_vols_tiff/gold166_wids_vols_tiff_onlysmall/100,255,0,file:/home/linus/Downloads/gold166_wids_vols_tiff/gold166_wids_vols_tiff_onlysmall/100/100.v3dpbd.tiff,511
-1,0.0,0.0,1.0800000000000125,0.0,9.63000000000001,101.v3dpbd.tiff,0,3,1,60,3,0.056833524513766345,0.04664949806473189,0.032937985020264605,0.0,1.0,0.008474983771642049,0.0,0.0,0.00423431396484375,50.00165303548177,255,0.019883504,0.009605841895192656,133299.97,15728640,b'eLuaVK0fG00+9Ck4DQxBWK/MOKUgKUUPJAsuMWFuBwYJyE2YZSuIgShfwYECZIDDE0gDQ9kOAJw9j3s=',fed7d73397c0ef35266acaaeafa0827b,file:/home/linus/Downloads/gold166_wids_vols_tiff/gold166_wids_vols_tiff_onlysmall/101/101.v3dpbd.tiff,0,0,0,0,0,0,0,/home/linus/Downloads/gold166_wids_vols_tiff/gold166_wids_vols_tiff_onlysmall/101,255,0,file:/home/linus/Downloads/gold166_wids_vols_tiff/gold166_wids_vols_tiff_onlysmall/101/101.v3dpbd.tiff,512
-1,0.0,0.0,0.9399999999999977,0.0,9.430000000000007,102.v3dpbd.tiff,0,4,1,64,4,0.1512466655946166,0.04208342846197234,0.03344428010115623,0.0,1.0,0.006371748633682728,0.0,0.0,0.0027179718017578125,64.99696969985962,255,0.016375134,0.009605841895192656,106900.2,16777216,b'eLuaVK0fG00+9Ck4DYxAWK/MOKUgKUUPJAsuMWFuBwYJyE2YZSuIgShfwYECZIDDE0gDQ9kOAJzrj30=',58c11576467f61ea322ea2e50aa0a18c,file:/home/linus/Downloads/gold166_wids_vols_tiff/gold166_wids_vols_tiff_onlysmall/102/102.v3dpbd.tiff,0,0,0,0,0,0,0,/home/linus/Downloads/gold166_wids_vols_tiff/gold166_wids_vols_tiff_onlysmall/102,255,0,file:/home/linus/Downloads/gold166_wids_vols_tiff/gold166_wids_vols_tiff_onlysmall/102/102.v3dpbd.tiff,512
-1,0.0,0.0,0.6400000000000148,0.0,7.52000000000001,103.v3dpbd.tiff,0,5,1,47,5,0.008578459838566395,0.015614401791969941,0.006084159097766526,0.0019607844,1.0,0.005553201157995995,0.0019607844,0.0,0.00017856029753989363,50.0,255,0.009311816,0.009605841895192656,68419.7,12320768,b'eLuaVK0fG00+9Ck4DYxBWK/MOKUgKUUPJAsuMWFuBwYJyE2YZSuIgShfwYECZIDDE0gDQ9kOAJ2Zj38=',59ff555e4150726daf751ff14f92df12,file:/home/linus/Downloads/gold166_wids_vols_tiff/gold166_wids_vols_tiff_onlysmall/103/103.v3dpbd.tiff,0,0,0,0,0,0,0,/home/linus/Downloads/gold166_wids_vols_tiff/gold166_wids_vols_tiff_onlysmall/103,255,0,file:/home/linus/Downloads/gold166_wids_vols_tiff/gold166_wids_vols_tiff_onlysmall/103/103.v3dpbd.tiff,512
-1,0.0,0.0,0.3800000000000239,0.0,10.129999999999995,104.v3dpbd.tiff,0,6,1,75,6,0.12927727718302148,0.026429986616990354,0.16932063751943172,0.0,1.0,0.003027335604031881,0.0,0.0,0.0011494954427083333,50.000386555989586,255,0.008944967,0.009605841895192656,59519.84,19660800,b'eLuaVK0fG00+9Ck4DUxAWK/MOKUgKUUPJAsuMWFuBwYJyE2YZSuIgShfwYECZIDDE0gDQ9kOAJ5Hj4E=',21c7dd2c013da2d563f56667214324ac,file:/home/linus/Downloads/gold166_wids_vols_tiff/gold166_wids_vols_tiff_onlysmall/104/104.v3dpbd.tiff,0,0,0,0,0,0,0,/home/linus/Downloads/gold166_wids_vols_tiff/gold166_wids_vols_tiff_onlysmall/104,255,0,file:/home/linus/Downloads/gold166_wids_vols_tiff/gold166_wids_vols_tiff_onlysmall/104/104.v3dpbd.tiff,512
-1,0.0,0.0,0.3499999999999943,0.0,8.910000000000025,105.v3dpbd.tiff,0,7,1,41,7,0.01081241068442956,0.05928246344408391,0.15467868971617246,0.003921569,1.0,0.013423279552924924,0.007843138,0.0,0.027046017530487805,0.022532393292682928,255,0.028209308,0.01358471189913022,225425.19,16793600,b'eLuaVK0fG00+9Ck4DUxBWK/MOKUgKUUPJAsuMWFuBwYJyE2YZSuIgShfwYECZIDDE0gDQ9kOAJ71j4M=',1ad70a50066f330ac2249ae79b0c4289,file:/home/linus/Downloads/gold166_wids_vols_tiff/gold166_wids_vols_tiff_onlysmall/105/105.v3dpbd.tiff,0,0,0,0,0,0,0,/home/linus/Downloads/gold166_wids_vols_tiff/gold166_wids_vols_tiff_onlysmall/105,255,0,file:/home/linus/Downloads/gold166_wids_vols_tiff/gold166_wids_vols_tiff_onlysmall/105/105.v3dpbd.tiff,640
-1,0.0,0.0,0.6999999999999886,0.0,6.510000000000019,106.v3dpbd.tiff,0,8,1,29,8,0.03606512957398399,0.03645731469659836,0.07076009574859506,0.0039215693,1.0,0.025854447463463093,0.015686275,0.007843138,0.017325565732758622,0.08359711745689655,255,0.030701526,0.02541466963086727,307109.47,11878400,b'eLuaVK0fG00+9Ck4DcxAWK/MOKUgKUUPJAsuMWFuBwYJyE2YZSuIgShfwYECZIDDE0gDQ9kOAJ+jj4U=',041d4e2a38b6361421b8f5c648b2eb30,file:/home/linus/Downloads/gold166_wids_vols_tiff/gold166_wids_vols_tiff_onlysmall/106/106.v3dpbd.tiff,0,0,0,0,0,0,0,/home/linus/Downloads/gold166_wids_vols_tiff/gold166_wids_vols_tiff_onlysmall/106,255,0,file:/home/linus/Downloads/gold166_wids_vols_tiff/gold166_wids_vols_tiff_onlysmall/106/106.v3dpbd.tiff,640
-1,0.0,0.0,0.3400000000000034,0.0,9.769999999999982,107.v3dpbd.tiff,0,9,1,44,9,0.04294787656239114,0.056136732204906205,0.10860187106618448,0.003921569,1.0,0.015965186032381926,0.007843138,0.0,0.025973233309659092,0.003573330965909091,255,0.029937157,0.01358471189913022,287730.97,18022400,b'eLuaVK0fG00+9Ck4DcxBWK/MOKUgKUUPJAsuMWFuBwYJyE2YZSuIgShfwYECZIDDE0gDQ9kOAKBRj4c=',94f191220ef46c3c69e40e8303153d19,file:/home/linus/Downloads/gold166_wids_vols_tiff/gold166_wids_vols_tiff_onlysmall/107/107.v3dpbd.tiff,0,0,0,0,0,0,0,/home/linus/Downloads/gold166_wids_vols_tiff/gold166_wids_vols_tiff_onlysmall/107,255,0,file:/home/linus/Downloads/gold166_wids_vols_tiff/gold166_wids_vols_tiff_onlysmall/107/107.v3dpbd.tiff,640
-1,0.0,0.0,0.27000000000001023,0.0,12.47999999999999,108.v3dpbd.tiff,0,10,1,57,10,0.02556850035287151,0.035909602205769275,0.03237635404778414,0.0039215684,1.0,0.014812604669939007,0.007843138,0.0,0.009161698190789474,0.009735642817982455,255,0.023063278,0.01358471189913022,345832.84,23347200,b'eLuaVK0fG00+9Ck4DSxAWK/MOKUgKUUPJAsuMWFuBwYJyE2YZSuIgShfwYECZIDDE0gDQ9kOAKD/j4k=',6df84c7ee996c19905281f3b12368f2a,file:/home/linus/Downloads/gold166_wids_vols_tiff/gold166_wids_vols_tiff_onlysmall/108/108.v3dpbd.tiff,0,0,0,0,0,0,0,/home/linus/Downloads/gold166_wids_vols_tiff/gold166_wids_vols_tiff_onlysmall/108,255,0,file:/home/linus/Downloads/gold166_wids_vols_tiff/gold166_wids_vols_tiff_onlysmall/108/108.v3dpbd.tiff,640
