"","ids","FocusScore","MADIntensity","MaxIntensity","MeanIntensity","SNR_mean","CNR_mean","MedianIntensity","MinIntensity","PercentMaximal","PercentMinimal","StdIntensity","SNR_otsu","CNR_otsu","ThresholdOtsu"
"1","1",26.3627032381598,0,255,0.109448756998023,NA,NA,0,0,4.35828732971046e-05,0.989101323911722,2.88536510052434,133.169400678266,147.834110370957,79
"2","100",151.592795022464,0,255,0.00574964510923564,NA,NA,0,0,5.84428809138637e-06,0.999557122752429,0.871604772496269,649.91407789182,572.850651248341,92
"3","101",1.21675392199073,2.9652,4095,73.5532163619995,18.4382555219462,451.690638837895,37,15,7.44501749674479e-05,6.35782877604167e-08,89.4961644834953,8.96296350099798,131.915650929033,160
"4","102",1.2017631651535,2.9652,4095,65.5026136040688,18.5829563028688,555.128586452193,38,25,8.84532928466797e-05,1.19209289550781e-07,78.7186282506521,49.5692391795129,44.5663496900591,1484
"5","103",1.33094760290004,8.8956,4095,64.107490458387,15.1149619412373,512.235668341923,41,4,0.000195198870719747,8.11637716090426e-08,85.3237107535271,65.6490722290254,49.0142809606945,1661
"6","104",1.12414397007089,2.9652,4095,65.0093849690755,22.4466417241941,631.404521926987,37,16,2.25321451822917e-05,5.08626302083333e-08,73.0799081110033,9.60249752865937,164.79707098242,139
"7","105",2.10151956434818,1.4826,255,3.4229384408346,17.4801794205956,422.209844302621,2,0,0.000270460175304878,0.000225323932926829,7.19337210097337,42.2618460857316,36.0474991651031,95
"8","106",1.18747572148069,1.4826,255,6.59288144867996,16.9616776542552,296.654849040364,4,2,0.000173255657327586,0.000835971174568966,7.82888665490787,9.7600706694186,115.658291021263,12
"9","107",1.87515566945476,1.4826,255,4.07111439098011,15.3777871397044,325.59503325279,2,0,0.000259732333096591,3.57333096590909e-05,7.63397323124522,35.4206435082717,30.8843890411831,94
"10","108",1.55700390045831,1.4826,255,3.77721546909265,18.3499435404944,435.494149583676,2,0,9.16169819078947e-05,9.73564281798246e-05,5.88113921824873,10.7003002527012,159.369792598726,9
"11","109",1.21298894148569,1.4826,255,5.45603004594613,25.6026889526847,415.65122532688,4,1,6.6174080003926e-05,3.45056037100425e-07,6.61810411014632,14.5232235224453,149.688003240826,13
